"LIDNUM"	"NAME"	"MID_AGE"	"MAX_AGE"	"MIN_AGE"	"ORDER"	"FAMILY"	"SUBFAMILY"	"GENUS"	"UNIQUE"
20282	"Sevastopol (Sebastopol)"	10.44	11	9.88	"Perissodactyla"	"Equidae"	"Hipparionini"	"indet."	"-"
20544	"Sinap 107"	10.52	11.056	9.984	"Perissodactyla"	"Equidae"	"\N"	"indet."	"-"
20545	"Sinap 108"	10.52	11.056	9.984	"Artiodactyla"	"Suidae"	"\N"	"indet."	"-"
20545	"Sinap 108"	10.52	11.056	9.984	"Perissodactyla"	"Rhinocerotidae"	"\N"	"indet."	"-"
20545	"Sinap 108"	10.52	11.056	9.984	"Proboscidea"	"Gomphotheriidae"	"\N"	"indet."	"-"
20545	"Sinap 108"	10.52	11.056	9.984	"Perissodactyla"	"Equidae"	"Hipparionini"	"indet."	"-"
20641	"Sinap 114"	10.52	11.056	9.984	"Artiodactyla"	"Bovidae"	"\N"	"indet."	"-"
20641	"Sinap 114"	10.52	11.056	9.984	"Artiodactyla"	"Giraffidae"	"\N"	"indet."	"-"
21567	"Sinap 121"	10.52	11.056	9.984	"Artiodactyla"	"Bovidae"	"\N"	"indet."	"-"
21567	"Sinap 121"	10.52	11.056	9.984	"Artiodactyla"	"indet."	"\N"	"indet."	"Ruminantia"
21567	"Sinap 121"	10.52	11.056	9.984	"Perissodactyla"	"Equidae"	"Hipparionini"	"indet."	"-"
21568	"Sinap 122"	10.52	11.056	9.984	"Artiodactyla"	"Bovidae"	"\N"	"indet."	"-"
21568	"Sinap 122"	10.52	11.056	9.984	"Perissodactyla"	"Rhinocerotidae"	"\N"	"indet."	"-"
21568	"Sinap 122"	10.52	11.056	9.984	"Perissodactyla"	"Equidae"	"Hipparionini"	"indet."	"-"
20504	"Sinap 4"	10.52	11.056	9.984	"Artiodactyla"	"Suidae"	"\N"	"indet."	"-"
20504	"Sinap 4"	10.52	11.056	9.984	"Perissodactyla"	"Rhinocerotidae"	"\N"	"indet."	"-"
20504	"Sinap 4"	10.52	11.056	9.984	"Perissodactyla"	"Equidae"	"Hipparionini"	"indet."	"-"
20535	"Sinap 64"	10.52	11.056	9.984	"Artiodactyla"	"Giraffidae"	"\N"	"indet."	"-"
20535	"Sinap 64"	10.52	11.056	9.984	"Perissodactyla"	"Rhinocerotidae"	"\N"	"indet."	"-"
20536	"Sinap 65"	10.52	11.056	9.984	"Artiodactyla"	"Suidae"	"\N"	"indet."	"-"
20537	"Sinap 72"	10.52	11.056	9.984	"Artiodactyla"	"Suidae"	"\N"	"indet."	"-"
20537	"Sinap 72"	10.52	11.056	9.984	"Proboscidea"	"indet."	"\N"	"indet."	"-"
20537	"Sinap 72"	10.52	11.056	9.984	"Perissodactyla"	"Rhinocerotidae"	"\N"	"indet."	"small"
